#      Y(j)      U(NI/3,j)  U(NI/2,j)  U(NI/2+1,j) U(NI/2+2,j)  U(NI/3*2,j) V(NI/2,j)  V(NI/2+1,j) V(NI/2+2,j)	 #    Y(j)      U(NI/3,j)  U(NI/2,j)  U(NI/2+1,j) U(NI/2+2,j) U(NI/3*2,j) V(NI/2,j)  V(NI/2+1,j) V(NI/2+2,j)
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00	   0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
  1.0417E-02  6.0126E-02 -4.4710E-04  0.0000E+00  0.0000E+00  0.0000E+00 -2.2355E-04  0.0000E+00  0.0000E+00	   1.0416666666666666E-002   6.0790031593293103E-002  -4.7616945140887537E-004   0.0000000000000000        0.0000000000000000        0.0000000000000000       -2.5966688374267255E-004   0.0000000000000000        0.0000000000000000     
  2.0833E-02  1.1887E-01 -7.9910E-04  0.0000E+00  0.0000E+00  0.0000E+00 -8.4666E-04  0.0000E+00  0.0000E+00	   2.0833333333333332E-002  0.12021544391620807       -8.3381357830082615E-004   0.0000000000000000        0.0000000000000000        0.0000000000000000       -9.1153210070949765E-004   0.0000000000000000        0.0000000000000000     
  3.1250E-02  1.7629E-01 -1.0829E-03  0.0000E+00  0.0000E+00  0.0000E+00 -1.7877E-03  0.0000E+00  0.0000E+00	   3.1250000000000000E-002  0.17830087435015590       -1.0284842430500791E-003   0.0000000000000000        0.0000000000000000        0.0000000000000000       -1.7744399752656101E-003   0.0000000000000000        0.0000000000000000     
  4.1667E-02  2.3239E-01 -1.1191E-03  0.0000E+00  0.0000E+00  0.0000E+00 -2.8887E-03  0.0000E+00  0.0000E+00	   4.1666666666666664E-002  0.23507005835952366       -1.0717301585907420E-003   0.0000000000000000        0.0000000000000000        0.0000000000000000       -2.7011757722250531E-003   0.0000000000000000        0.0000000000000000     
  5.2083E-02  2.8725E-01 -1.2114E-03  0.0000E+00  0.0000E+00  0.0000E+00 -4.0540E-03  0.0000E+00  0.0000E+00	   5.2083333333333329E-002  0.29054563894701685       -9.9207304283460218E-004   0.0000000000000000        0.0000000000000000        0.0000000000000000       -3.5752783819862069E-003   0.0000000000000000        0.0000000000000000     
  6.2500E-02  3.4082E-01 -1.0123E-03  0.0000E+00  0.0000E+00  0.0000E+00 -5.1658E-03  0.0000E+00  0.0000E+00	   6.2500000000000000E-002  0.34474899670505693       -8.1893273870104616E-004   0.0000000000000000        0.0000000000000000        0.0000000000000000       -4.3061434791392354E-003   0.0000000000000000        0.0000000000000000     
  7.2917E-02  3.9323E-01 -1.0058E-03  0.0000E+00  0.0000E+00  0.0000E+00 -6.1749E-03  0.0000E+00  0.0000E+00	   7.2916666666666657E-002  0.39770010124849892       -5.7696876893721704E-004   0.0000000000000000        0.0000000000000000        0.0000000000000000       -4.8237659302704690E-003   0.0000000000000000        0.0000000000000000     
  8.3333E-02  4.4440E-01 -6.4464E-04  0.0000E+00  0.0000E+00  0.0000E+00 -7.0001E-03  0.0000E+00  0.0000E+00	   8.3333333333333329E-002  0.44941738402809828       -2.8486814644227733E-004   0.0000000000000000        0.0000000000000000        0.0000000000000000       -5.0738012858213503E-003   0.0000000000000000        0.0000000000000000     
  9.3750E-02  4.9447E-01 -6.0509E-04  0.0000E+00  0.0000E+00  0.0000E+00 -7.6250E-03  0.0000E+00  0.0000E+00	   9.3750000000000000E-002  0.49991763203916473        4.4174241826584922E-005   0.0000000000000000        0.0000000000000000        0.0000000000000000       -5.0132169344134572E-003   0.0000000000000000        0.0000000000000000     
  1.0417E-01  5.4332E-01 -1.2008E-04  0.0000E+00  0.0000E+00  0.0000E+00 -7.9876E-03  0.0000E+00  0.0000E+00	  0.10416666666666666       0.54921590165183853        4.0149271923591891E-004   0.0000000000000000        0.0000000000000000        0.0000000000000000       -4.6065749577936278E-003   0.0000000000000000        0.0000000000000000     
